method,parameter,repetition,mean_error_rad,max_mean_error_rad,l1_error,max_l1_error,min_evaluated_density,max_normalization_error
FIGFAN,15,0,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,0,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,1,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,1,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,2,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,2,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,3,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,3,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,4,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,4,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,5,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,5,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,6,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,6,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,7,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,7,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,8,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,8,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,9,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,9,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,10,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,10,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,11,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,11,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,12,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,12,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,13,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,13,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,14,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,14,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,15,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,15,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,16,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,16,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,17,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,17,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,18,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,18,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,19,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,19,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,20,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,20,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,21,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,21,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,22,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,22,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,23,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,23,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,24,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,24,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,25,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,25,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,26,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,26,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,27,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,27,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,28,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,28,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,29,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,29,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,31,0,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,0,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,1,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,1,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,2,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,2,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,3,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,3,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,4,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,4,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,5,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,5,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
