method,parameter,repetition,runtime_s,mean_error_rad,max_mean_error_rad,l1_error,max_l1_error,min_evaluated_density,max_normalization_error
FIGFAN,15,0,0.0025588800000377887,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,0,0.0025588800000377887,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,1,0.001519680999990669,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,1,0.001519680999990669,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,2,0.0014161060000787984,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,2,0.0014161060000787984,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,3,0.0014728329999798007,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,3,0.0014728329999798007,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,4,0.0014108369999803472,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,4,0.0014108369999803472,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,5,0.0014628039999706743,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,5,0.0014628039999706743,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
