method,parameter,n_repetitions,runtime_s_mean,mean_error_rad_mean,max_mean_error_rad_mean,l1_error_mean,max_l1_error_mean,min_evaluated_density_mean,max_normalization_error_mean,runtime_s_std,mean_error_rad_std,max_mean_error_rad_std,l1_error_std,max_l1_error_std,min_evaluated_density_std,max_normalization_error_std,runtime_s_median,mean_error_rad_median,max_mean_error_rad_median,l1_error_median,max_l1_error_median,min_evaluated_density_median,max_normalization_error_median,runtime_s_q25,mean_error_rad_q25,max_mean_error_rad_q25,l1_error_q25,max_l1_error_q25,min_evaluated_density_q25,max_normalization_error_q25,runtime_s_q75,mean_error_rad_q75,max_mean_error_rad_q75,l1_error_q75,max_l1_error_q75,min_evaluated_density_q75,max_normalization_error_q75
FIGFAN,15,30,0.001714557966670327,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16,0.0005979402218452602,0.0,0.0,0.0,0.0,0.0,0.0,0.0014415340000368815,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16,0.0014163217500708924,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16,0.0015130659999726959,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFAN,31,30,0.001434849766667412,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16,3.374526316415901e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0014301979999800096,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16,0.0014081442500355479,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16,0.0014511342500327373,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFAN,63,30,0.0014622792666690052,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16,3.398108108079783e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0014578089999304211,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16,0.0014351272500050527,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16,0.001473847249968685,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFAN,127,30,0.0017747380666681542,0.00037042735221164906,0.0008321199856204942,0.00010972932706213885,0.00011680771642948091,4.348782292418476e-06,6.661338147750939e-16,6.04030996391257e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0017616850000194972,0.00037042735221164906,0.0008321199856204942,0.00010972932706213885,0.00011680771642948091,4.348782292418476e-06,6.661338147750939e-16,0.0017520044999628226,0.00037042735221164906,0.0008321199856204942,0.00010972932706213885,0.00011680771642948091,4.348782292418476e-06,6.661338147750939e-16,0.0017698030000019571,0.00037042735221164906,0.0008321199856204942,0.00010972932706213885,0.00011680771642948091,4.348782292418476e-06,6.661338147750939e-16
FIGFAN,255,30,0.0017684049000043463,0.0003704273522116984,0.0008321199856204942,0.0001097293270622096,0.0001168077164294775,4.348782292270857e-06,3.3306690738754696e-16,0.0002039778849583275,0.0,0.0,0.0,0.0,0.0,0.0,0.001686208500018438,0.0003704273522116984,0.0008321199856204942,0.0001097293270622096,0.0001168077164294775,4.348782292270857e-06,3.3306690738754696e-16,0.0016754857499563514,0.0003704273522116984,0.0008321199856204942,0.0001097293270622096,0.0001168077164294775,4.348782292270857e-06,3.3306690738754696e-16,0.0017398709999554285,0.0003704273522116984,0.0008321199856204942,0.0001097293270622096,0.0001168077164294775,4.348782292270857e-06,3.3306690738754696e-16
FIGFAN,511,30,0.0022144673999984358,0.00037042735221164906,0.0008321199856204942,0.00010972932706197953,0.00011680771642914424,4.3487822923381325e-06,6.661338147750939e-16,6.794102433995349e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00219277849998889,0.00037042735221164906,0.0008321199856204942,0.00010972932706197953,0.00011680771642914424,4.3487822923381325e-06,6.661338147750939e-16,0.002178437250023535,0.00037042735221164906,0.0008321199856204942,0.00010972932706197953,0.00011680771642914424,4.3487822923381325e-06,6.661338147750939e-16,0.0022098782500847847,0.00037042735221164906,0.0008321199856204942,0.00010972932706197953,0.00011680771642914424,4.3487822923381325e-06,6.661338147750939e-16
FIGFAN,1023,30,0.0025218730000233338,0.00037042735221164906,0.0008321199856204942,0.00010972932706218168,0.00011680771642932314,4.348782292213943e-06,4.440892098500626e-16,0.0002623320332354875,0.0,0.0,0.0,0.0,0.0,0.0,0.0024631560000329955,0.00037042735221164906,0.0008321199856204942,0.00010972932706218168,0.00011680771642932314,4.348782292213943e-06,4.440892098500626e-16,0.002443817250025404,0.00037042735221164906,0.0008321199856204942,0.00010972932706218168,0.00011680771642932314,4.348782292213943e-06,4.440892098500626e-16,0.002476498000049787,0.00037042735221164906,0.0008321199856204942,0.00010972932706218168,0.00011680771642932314,4.348782292213943e-06,4.440892098500626e-16
FIGFAN,2047,30,0.004685639600014232,0.0003704273522116984,0.0008321199856204942,0.00010972932706218444,0.00011680771642963854,4.348782292214965e-06,4.440892098500626e-16,0.0008108195258832388,0.0,0.0,0.0,0.0,0.0,0.0,0.004434433999961129,0.0003704273522116984,0.0008321199856204942,0.00010972932706218444,0.00011680771642963854,4.348782292214965e-06,4.440892098500626e-16,0.004410551000034957,0.0003704273522116984,0.0008321199856204942,0.00010972932706218444,0.00011680771642963854,4.348782292214965e-06,4.440892098500626e-16,0.004488946000037686,0.0003704273522116984,0.0008321199856204942,0.00010972932706218444,0.00011680771642963854,4.348782292214965e-06,4.440892098500626e-16
FIGFAN,4095,30,0.0054336892666507685,0.0003704273522116984,0.0008321199856204942,0.00010972932706223971,0.00011680771642964762,4.3487822923125606e-06,4.440892098500626e-16,0.00025734866555242547,0.0,0.0,0.0,0.0,0.0,0.0,0.005354865499953121,0.0003704273522116984,0.0008321199856204942,0.00010972932706223971,0.00011680771642964762,4.3487822923125606e-06,4.440892098500626e-16,0.005277014749992759,0.0003704273522116984,0.0008321199856204942,0.00010972932706223971,0.00011680771642964762,4.3487822923125606e-06,4.440892098500626e-16,0.005402084499991133,0.0003704273522116984,0.0008321199856204942,0.00010972932706223971,0.00011680771642964762,4.3487822923125606e-06,4.440892098500626e-16
FIGFDN,15,30,0.001714557966670327,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16,0.0005979402218452602,0.0,0.0,0.0,0.0,0.0,0.0,0.0014415340000368815,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16,0.0014163217500708924,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16,0.0015130659999726959,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
