method,parameter,repetition,runtime_s
FIGFAN,15,0,0.0025588800000377887
FIGFDN,15,0,0.0025588800000377887
FIGFAN,15,1,0.001519680999990669
FIGFDN,15,1,0.001519680999990669
FIGFAN,15,2,0.0014161060000787984
FIGFDN,15,2,0.0014161060000787984
FIGFAN,15,3,0.0014728329999798007
FIGFDN,15,3,0.0014728329999798007
FIGFAN,15,4,0.0014108369999803472
FIGFDN,15,4,0.0014108369999803472
FIGFAN,15,5,0.0014628039999706743
FIGFDN,15,5,0.0014628039999706743
FIGFAN,15,6,0.0014320459999908053
FIGFDN,15,6,0.0014320459999908053
FIGFAN,15,7,0.0014501100000643419
FIGFDN,15,7,0.0014501100000643419
FIGFAN,15,8,0.0014425560000290716
FIGFDN,15,8,0.0014425560000290716
FIGFAN,15,9,0.0014152660000945616
FIGFDN,15,9,0.0014152660000945616
FIGFAN,15,10,0.0014451819999976578
FIGFDN,15,10,0.0014451819999976578
FIGFAN,15,11,0.0014188510000394672
FIGFDN,15,11,0.0014188510000394672
FIGFAN,15,12,0.0014524650000566908
FIGFDN,15,12,0.0014524650000566908
FIGFAN,15,13,0.0014081420000593425
FIGFDN,15,13,0.0014081420000593425
FIGFAN,15,14,0.001427378000016688
FIGFDN,15,14,0.001427378000016688
FIGFAN,15,15,0.0015809559999979683
FIGFDN,15,15,0.0015809559999979683
FIGFAN,15,16,0.0014405120000446914
FIGFDN,15,16,0.0014405120000446914
FIGFAN,15,17,0.001418781999973362
FIGFDN,15,17,0.001418781999973362
FIGFAN,15,18,0.0014002259999870148
FIGFDN,15,18,0.0014002259999870148
FIGFAN,15,19,0.0028411999999207183
FIGFDN,15,19,0.0028411999999207183
FIGFAN,15,20,0.003169886999899063
FIGFDN,15,20,0.003169886999899063
FIGFAN,15,21,0.003310609999971348
FIGFDN,15,21,0.003310609999971348
FIGFAN,15,22,0.0031709589999309173
FIGFDN,15,22,0.0031709589999309173
FIGFAN,15,23,0.0019222099999751663
FIGFDN,15,23,0.0019222099999751663
FIGFAN,15,24,0.0014169690000471746
FIGFDN,15,24,0.0014169690000471746
FIGFAN,15,25,0.0014932209999187762
FIGFDN,15,25,0.0014932209999187762
FIGFAN,15,26,0.0013806100000692823
FIGFDN,15,26,0.0013806100000692823
FIGFAN,15,27,0.0014237610000691348
FIGFDN,15,27,0.0014237610000691348
FIGFAN,15,28,0.0013710029999174367
FIGFDN,15,28,0.0013710029999174367
FIGFAN,15,29,0.0013626960000010513
FIGFDN,15,29,0.0013626960000010513
FIGFAN,31,0,0.0015046329999677255
FIGFDN,31,0,0.0015046329999677255
FIGFAN,31,1,0.0015112950000002456
FIGFDN,31,1,0.0015112950000002456
FIGFAN,31,2,0.0014378870000655297
FIGFDN,31,2,0.0014378870000655297
FIGFAN,31,3,0.0014845050000076299
FIGFDN,31,3,0.0014845050000076299
FIGFAN,31,4,0.0014091740000594655
FIGFDN,31,4,0.0014091740000594655
FIGFAN,31,5,0.0014578540000229623
FIGFDN,31,5,0.0014578540000229623
FIGFAN,31,6,0.0014306739999483398
FIGFDN,31,6,0.0014306739999483398
FIGFAN,31,7,0.001418851999915205
FIGFDN,31,7,0.001418851999915205
FIGFAN,31,8,0.001460028999986207
FIGFDN,31,8,0.001460028999986207
FIGFAN,31,9,0.0014297220000116795
FIGFDN,31,9,0.0014297220000116795
FIGFAN,31,10,0.001477041000043755
FIGFDN,31,10,0.001477041000043755
FIGFAN,31,11,0.0014458819999845218
FIGFDN,31,11,0.0014458819999845218
FIGFAN,31,12,0.0014528850000488092
FIGFDN,31,12,0.0014528850000488092
FIGFAN,31,13,0.0014195630000131132
FIGFDN,31,13,0.0014195630000131132
FIGFAN,31,14,0.0014372859999411958
FIGFDN,31,14,0.0014372859999411958
FIGFAN,31,15,0.0014078010000275754
FIGFDN,31,15,0.0014078010000275754
FIGFAN,31,16,0.001396018999912485
FIGFDN,31,16,0.001396018999912485
FIGFAN,31,17,0.0014267560000007506
FIGFDN,31,17,0.0014267560000007506
FIGFAN,31,18,0.0013974820000157706
FIGFDN,31,18,0.0013974820000157706
FIGFAN,31,19,0.001432578000049034
FIGFDN,31,19,0.001432578000049034
FIGFAN,31,20,0.0013941049999175448
FIGFDN,31,20,0.0013941049999175448
FIGFAN,31,21,0.0013862409999774172
FIGFDN,31,21,0.0013862409999774172
FIGFAN,31,22,0.0015074990000130128
FIGFDN,31,22,0.0015074990000130128
FIGFAN,31,23,0.001414173000057417
FIGFDN,31,23,0.001414173000057417
FIGFAN,31,24,0.0014317060000621495
FIGFDN,31,24,0.0014317060000621495
FIGFAN,31,25,0.0014003269999420809
FIGFDN,31,25,0.0014003269999420809
FIGFAN,31,26,0.0014327379999485856
FIGFDN,31,26,0.0014327379999485856
FIGFAN,31,27,0.0014053759999796966
FIGFDN,31,27,0.0014053759999796966
FIGFAN,31,28,0.0014057170000114638
FIGFDN,31,28,0.0014057170000114638
FIGFAN,31,29,0.0014296930000909924
FIGFDN,31,29,0.0014296930000909924
FIGFAN,63,0,0.0015562700000373297
FIGFDN,63,0,0.0015562700000373297
FIGFAN,63,1,0.0014455119999183808
FIGFDN,63,1,0.0014455119999183808
FIGFAN,63,2,0.0014930009999716276
FIGFDN,63,2,0.0014930009999716276
FIGFAN,63,3,0.0014568419999250182
FIGFDN,63,3,0.0014568419999250182
FIGFAN,63,4,0.001473974999953498
FIGFDN,63,4,0.001473974999953498
FIGFAN,63,5,0.0014346620000651455
FIGFDN,63,5,0.0014346620000651455
FIGFAN,63,6,0.0014885830000821443
FIGFDN,63,6,0.0014885830000821443
FIGFAN,63,7,0.001446223000016289
